aqstime,windir,winspd,radiation,temp,barometer,rh,innertemp,O3,NO,NO2,NOX,SO2,CO,PM10,PM25,PM1
09/01/2019 00:00,502,0,0.263017,26.1189,1016.94,95.656,27.0382,,,,,1.6449,1204.29,1,1,1
09/01/2019 01:00,502,0,0.50179,25.5373,1017.23,98.723,27.0366,,,,,1.52454,657.78,1,1,1
09/01/2019 02:00,502,0,0.50716,25.2945,1017.35,98.728,27.0369,,,,,1.43635,429.965,1,1,1
